Model,eps_0,eps_0_se,eps_1,eps_1_se,eps_2,eps_2_se
LA-AIDS,-0.8492,0.0,-1.4196,0.0,-1.1399,0.0
BLP (IV),-0.998,0.0,-1.7692,0.0,-0.5871,0.0
QUAIDS,-0.8819,0.0,-1.4227,0.0,-1.1293,0.0
Series Est.,-0.7084,0.0,-1.6293,0.0,-1.2242,0.0
LDS (Shared),-0.2018,0.0,-0.2405,0.0,-0.219,0.0
LDS (GoodSpec),-0.2097,0.0,-0.2403,0.0,-0.22,0.0
LDS (Orth),-0.5357,0.0,-0.6402,0.0,-0.4986,0.0
Neural Demand (static),-0.9477,0.0602,-0.9283,0.0055,-1.0285,0.024
Neural Demand (habit),-1.0114,0.0256,-0.9493,0.0537,-1.0129,0.0415
Neural Demand (FE),,,,,,
"Neural Demand (habit, FE)",,,,,,
Neural Demand (CF),-1.0558,0.0032,-0.9638,0.0007,-1.055,0.023
"Neural Demand (habit, CF)",-0.9783,0.0689,-0.9657,0.0179,-1.0004,0.0171
